MUNICIPIO;Total de Casos;MUNICIPIO;Tipo de Poblacion;Cantidad de Poblaciòn;Poblacion Afectada
CARTAGENA;104;CARTAGENA;Urbano;1057767,00;0,010%
BOGOTÁ, D.C.;884;BOGOTÁ, D.C.;Urbano;8380801,00;0,011%
BUCARAMANGA;70;BUCARAMANGA;Urbano;528572,00;0,013%
SANTANDER DE QUILICHAO;24;SANTANDER DE QUILICHAO;Urbano;100681,00;0,024%
MONTELÍBANO;13;MONTELÍBANO;Urbano;90450,00;0,014%
SAN CARLOS DE GUAROA;4;SAN CARLOS DE GUAROA;Urbano;11474,00;0,035%
POPAYÁN;41;POPAYÁN;Urbano;288636,00;0,014%
MONTERÍA;23;MONTERÍA;Urbano;471867,00;0,005%
SANTA MARTA;75;SANTA MARTA;Urbano;524031,00;0,014%
MONTENEGRO;3;MONTENEGRO;Urbano;41996,00;0,007%
CALI;444;CALI;Urbano;2496346,00;0,018%
SAN FRANCISCO;4;SAN FRANCISCO;Urbano;4825,00;0,083%
TAURAMENA;1;TAURAMENA;Urbano;25450,00;0,004%
ANAPOIMA;2;ANAPOIMA;Urbano;14331,00;0,014%
VILLAVICENCIO;53;VILLAVICENCIO;Urbano;538527,00;0,010%
SANTIAGO;2;SANTIAGO;Urbano;2901,00;0,069%
BUENAVENTURA;33;BUENAVENTURA;Urbano;440995,00;0,007%
CURUMANÍ;5;CURUMANÍ;Urbano;22673,00;0,022%
URUMITA;1;URUMITA;Urbano;20035,00;0,005%
SOLEDAD;35;SOLEDAD;Urbano;700970,00;0,005%
TUNJA;10;TUNJA;Urbano;206791,00;0,005%
MAICAO;13;MAICAO;Urbano;168658,00;0,008%
TIERRALTA;7;TIERRALTA;Urbano;112206,00;0,006%
BELLO;28;BELLO;Urbano;500098,00;0,006%
PÁCORA;10;PÁCORA;Urbano;10608,00;0,094%
MEDELLÍN;215;MEDELLÍN;Urbano;2569007,00;0,008%
EL BAGRE;2;EL BAGRE;Urbano;51150,00;0,004%
BARRANQUILLA;86;BARRANQUILLA;Urbano;1239804,00;0,007%
EL CARMEN DE BOLÍVAR;3;EL CARMEN DE BOLÍVAR;Urbano;79606,00;0,004%
ARGELIA;8;ARGELIA;Urbano;8036,00;0,100%
VALLEDUPAR;41;VALLEDUPAR;Urbano;503444,00;0,008%
QUIBDO;28;QUIBDO;Urbano;116322,00;0,024%
CERETÉ;6;CERETÉ;Urbano;94935,00;0,006%
CIÉNAGA;14;CIÉNAGA;Urbano;105807,00;0,013%
FUNDACIÓN;24;FUNDACIÓN;Urbano;57677,00;0,042%
PUERTO GAITÁN;15;PUERTO GAITÁN;Urbano;19113,00;0,078%
LEJANÍAS;8;LEJANÍAS;Urbano;9229,00;0,087%
TUMACO;13;TUMACO;Urbano;221469,00;0,006%
ARMENIA;30;ARMENIA;Urbano;3765,00;0,797%
FRESNO;3;FRESNO;Urbano;29663,00;0,010%
LA UNIÓN;9;LA UNIÓN;Urbano;19588,00;0,046%
JAMUNDÍ;11;JAMUNDÍ;Urbano;132540,00;0,008%
