,ACUSACION,ANIO_DENUNCIA,ANIO_ENTRADA,ANIO_HECHO,ATIPICIDAD_INEXISTENCIA,CAPTURA,CONDENA,CONEXO,DELITO,DEPARTAMENTO,ESTADO_NOTICIA,ETAPA,GRUPO_DELITO,GRUPO_EDAD_VICTIMA,HECHO,HOMICIDIO_DOLOSO_CONSUMADO,IMPUTACION,LEY,MUNICIPIO,PAIS,PAIS_NACIMIENTO,RUPTURA,SECCIONAL,SEXO_VICTIMA,TOTAL_VICTIMAS
0,0,2010,2010,2010,0,0,0,0,FEMINICIDIO ART. 104A C.P.,7,1,1,FEMINICIDIO,8,1,0,0,Ley 906,CARTAGENA,Colombia,Colombia,0,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMENINO,2
1,0,2011,2011,2011,0,0,0,0,FEMINICIDIO ART. 104A C.P.,6,1,1,FEMINICIDIO,4,1,1,0,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,0,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
2,0,2011,2011,2011,0,0,0,0,FEMINICIDIO ART. 104A C.P.,6,1,1,FEMINICIDIO,8,1,1,0,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,0,DIRECCIÓN SECCIONAL DE BOGOTÁ,NO_DECLARA,1
3,0,2012,2012,2012,0,0,0,0,FEMINICIDIO ART. 104A C.P.,6,1,1,FEMINICIDIO,8,1,1,0,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,0,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
4,0,2012,2012,2012,0,0,0,0,FEMINICIDIO ART. 104A C.P.,7,1,1,FEMINICIDIO,6,1,0,0,Ley 906,CARTAGENA,Colombia,Colombia,0,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMENINO,1
5,0,2012,2012,2012,0,0,0,0,FEMINICIDIO ART. 104A C.P.,7,1,1,FEMINICIDIO,5,1,0,0,Ley 906,CARTAGENA,Colombia,Colombia,0,DIRECCIÓN SECCIONAL DE BOLÍVAR,FEMENINO,1
6,0,2013,2013,2013,0,0,0,0,FEMINICIDIO ART. 104A C.P.,6,1,1,FEMINICIDIO,8,1,1,0,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,0,DIRECCIÓN SECCIONAL DE BOGOTÁ,NO_DECLARA,1
7,0,2013,2013,2013,0,0,0,0,FEMINICIDIO ART. 104A C.P.,7,1,1,FEMINICIDIO,8,1,1,0,Ley 906,CARTAGENA,Colombia,Colombia,0,DIRECCIÓN SECCIONAL DE BOLÍVAR,NO_DECLARA,1
8,0,2014,2014,2013,0,0,0,0,FEMINICIDIO ART. 104A C.P.,28,1,1,FEMINICIDIO,8,1,0,0,Ley 906,BUCARAMANGA,Colombia,Colombia,0,DIRECCIÓN SECCIONAL DE SANTANDER,NO_DECLARA,1
9,0,2014,2014,2014,0,0,0,0,FEMINICIDIO ART. 104A C.P.,6,1,1,FEMINICIDIO,4,1,0,0,Ley 906,"BOGOTÁ, D.C.",Colombia,Colombia,0,DIRECCIÓN SECCIONAL DE BOGOTÁ,FEMENINO,1
