;ACUSACION;ANIO_DENUNCIA;ANIO_ENTRADA;ANIO_HECHO;ATIPICIDAD_INEXISTENCIA;CAPTURA;CONDENA;CONEXO;DELITO;DEPARTAMENTO;ESTADO_NOTICIA;ETAPA;GRUPO_DELITO;GRUPO_EDAD_VICTIMA;HECHO;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;LEY;MUNICIPIO;PAIS;PAIS_NACIMIENTO;RUPTURA;SECCIONAL;SEXO_VICTIMA;TOTAL_VICTIMAS;MUNICIPIO;Total de Casos;MUNICIPIO;Tipo de Poblacion;Cantidad de Poblaciòn;Poblacion Afectada
0;0;2010;2010;2010;0;0;0;0;FEMINICIDIO ART. 104A C.P.;7;1;1;FEMINICIDIO;8;1;0;0;Ley 906;CARTAGENA;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOLÍVAR;FEMENINO;2;CARTAGENA;104;CARTAGENA;Urbano;1057767;0,01%
1;0;2011;2011;2011;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;4;1;1;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;FEMENINO;1;BOGOTÁ, D.C.;884;BOGOTÁ, D.C.;Urbano;8380801;0,01%
2;0;2011;2011;2011;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;8;1;1;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;NO_DECLARA;1;BUCARAMANGA;70;BUCARAMANGA;Urbano;528572;0,01%
3;0;2012;2012;2012;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;8;1;1;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;FEMENINO;1;SANTANDER DE QUILICHAO;24;SANTANDER DE QUILICHAO;Urbano;100681;0,02%
4;0;2012;2012;2012;0;0;0;0;FEMINICIDIO ART. 104A C.P.;7;1;1;FEMINICIDIO;6;1;0;0;Ley 906;CARTAGENA;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOLÍVAR;FEMENINO;1;MONTELÍBANO;13;MONTELÍBANO;Urbano;90450;0,01%
5;0;2012;2012;2012;0;0;0;0;FEMINICIDIO ART. 104A C.P.;7;1;1;FEMINICIDIO;5;1;0;0;Ley 906;CARTAGENA;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOLÍVAR;FEMENINO;1;SAN CARLOS DE GUAROA;4;SAN CARLOS DE GUAROA;Urbano;11474;0,04%
6;0;2013;2013;2013;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;8;1;1;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;NO_DECLARA;1;POPAYÁN;41;POPAYÁN;Urbano;288636;0,01%
7;0;2013;2013;2013;0;0;0;0;FEMINICIDIO ART. 104A C.P.;7;1;1;FEMINICIDIO;8;1;1;0;Ley 906;CARTAGENA;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOLÍVAR;NO_DECLARA;1;MONTERÍA;23;MONTERÍA;Urbano;471867;0,01%
8;0;2014;2014;2013;0;0;0;0;FEMINICIDIO ART. 104A C.P.;28;1;1;FEMINICIDIO;8;1;0;0;Ley 906;BUCARAMANGA;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE SANTANDER;NO_DECLARA;1;SANTA MARTA;75;SANTA MARTA;Urbano;524031;0,01%
9;0;2014;2014;2014;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;4;1;0;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;FEMENINO;1;MONTENEGRO;3;MONTENEGRO;Urbano;41996;0,01%
10;0;2014;2014;2014;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;6;1;1;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;FEMENINO;2;CALI;444;CALI;Urbano;2496346;0,02%
11;0;2014;2014;2014;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;5;1;1;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;FEMENINO;1;SAN FRANCISCO;4;SAN FRANCISCO;Urbano;4825;0,08%
12;0;2014;2014;2014;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;8;1;1;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;NO_DECLARA;1;TAURAMENA;1;TAURAMENA;Urbano;25450;0,00%
13;0;2014;2014;2014;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;8;1;1;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;FEMENINO;1;ANAPOIMA;2;ANAPOIMA;Urbano;14331;0,01%
14;0;2014;2014;2014;0;0;0;0;FEMINICIDIO ART. 104A C.P.;7;1;1;FEMINICIDIO;6;1;0;0;Ley 906;CARTAGENA;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOLÍVAR;FEMENINO;1;VILLAVICENCIO;53;VILLAVICENCIO;Urbano;538527;0,01%
15;0;2014;2014;2014;0;0;0;0;FEMINICIDIO ART. 104A C.P.;7;1;1;FEMINICIDIO;6;1;1;0;Ley 906;CARTAGENA;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOLÍVAR;FEMENINO;1;SANTIAGO;2;SANTIAGO;Urbano;2901;0,07%
16;0;2014;2014;2014;0;0;0;0;FEMINICIDIO ART. 104A C.P.;7;1;1;FEMINICIDIO;8;1;0;0;Ley 906;CARTAGENA;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOLÍVAR;FEMENINO;2;BUENAVENTURA;33;BUENAVENTURA;Urbano;440995;0,01%
17;0;2014;2014;2014;0;0;0;0;FEMINICIDIO ART. 104A C.P.;12;1;1;FEMINICIDIO;6;1;0;0;Ley 906;SANTANDER DE QUILICHAO;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE CAUCA;FEMENINO;1;CURUMANÍ;5;CURUMANÍ;Urbano;22673;0,02%
18;0;2014;2014;2014;0;0;0;0;FEMINICIDIO ART. 104A C.P.;16;1;1;FEMINICIDIO;5;1;1;0;Ley 906;MONTELÍBANO;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE CÓRDOBA;FEMENINO;1;URUMITA;1;URUMITA;Urbano;20035;0,01%
19;0;2014;2014;2014;0;0;0;0;FEMINICIDIO ART. 104A C.P.;22;1;1;FEMINICIDIO;2;1;1;0;Ley 906;SAN CARLOS DE GUAROA;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE META;FEMENINO;1;SOLEDAD;35;SOLEDAD;Urbano;700970;0,01%
20;0;2014;2014;2014;1;0;0;0;FEMINICIDIO ART. 104A C.P.;6;0;1;FEMINICIDIO;6;0;0;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;FEMENINO;1;TUNJA;10;TUNJA;Urbano;206791;0,01%
21;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;6;1;0;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;FEMENINO;1;MAICAO;13;MAICAO;Urbano;168658;0,01%
22;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;6;1;0;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;MASCULINO;3;TIERRALTA;7;TIERRALTA;Urbano;112206;0,01%
23;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;5;1;0;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;FEMENINO;1;BELLO;28;BELLO;Urbano;500098;0,01%
24;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;8;1;0;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;FEMENINO;1;PÁCORA;10;PÁCORA;Urbano;10608;0,09%
25;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;8;1;0;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;MASCULINO;2;MEDELLÍN;215;MEDELLÍN;Urbano;2569007;0,01%
26;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;8;1;1;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;FEMENINO;5;EL BAGRE;2;EL BAGRE;Urbano;51150;0,00%
27;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;1;FEMINICIDIO;8;1;1;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;MASCULINO;1;BARRANQUILLA;86;BARRANQUILLA;Urbano;1239804;0,01%
28;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;1;2;FEMINICIDIO;6;1;1;1;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;FEMENINO;1;EL CARMEN DE BOLÍVAR;3;EL CARMEN DE BOLÍVAR;Urbano;79606;0,00%
29;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;0;1;FEMINICIDIO;8;1;0;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;FEMENINO;1;ARGELIA;8;ARGELIA;Urbano;8036;0,10%
30;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;0;1;FEMINICIDIO;8;1;1;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;FEMENINO;5;VALLEDUPAR;41;VALLEDUPAR;Urbano;503444;0,01%
31;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;6;0;1;FEMINICIDIO;8;1;1;0;Ley 906;BOGOTÁ, D.C.;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOGOTÁ;MASCULINO;2;QUIBDO;28;QUIBDO;Urbano;116322;0,02%
32;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;7;1;1;FEMINICIDIO;4;1;0;0;Ley 906;CARTAGENA;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE BOLÍVAR;FEMENINO;1;CERETÉ;6;CERETÉ;Urbano;94935;0,01%
33;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;12;1;1;FEMINICIDIO;5;1;0;0;Ley 906;POPAYÁN;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE CAUCA;FEMENINO;1;CIÉNAGA;14;CIÉNAGA;Urbano;105807;0,01%
34;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;16;1;4;FEMINICIDIO;8;1;0;1;Ley 906;MONTERÍA;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE CÓRDOBA;FEMENINO;1;FUNDACIÓN;24;FUNDACIÓN;Urbano;57677;0,04%
35;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;21;1;1;FEMINICIDIO;8;1;0;0;Ley 906;SANTA MARTA;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE MAGDALENA;FEMENINO;1;PUERTO GAITÁN;15;PUERTO GAITÁN;Urbano;19113;0,08%
36;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;21;1;1;FEMINICIDIO;8;1;1;0;Ley 906;SANTA MARTA;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE MAGDALENA;FEMENINO;1;LEJANÍAS;8;LEJANÍAS;Urbano;9229;0,09%
37;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;26;1;2;FEMINICIDIO;4;1;0;1;Ley 906;MONTENEGRO;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE QUINDÍO;FEMENINO;1;TUMACO;13;TUMACO;Urbano;221469;0,01%
38;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;31;0;1;FEMINICIDIO;6;1;0;0;Ley 906;CALI;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE CALI;FEMENINO;2;ARMENIA;30;ARMENIA;Urbano;3765;0,80%
39;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;31;0;1;FEMINICIDIO;6;1;1;0;Ley 906;CALI;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE CALI;FEMENINO;1;FRESNO;3;FRESNO;Urbano;29663;0,01%
40;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;31;0;1;FEMINICIDIO;5;1;1;0;Ley 906;CALI;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE CALI;FEMENINO;1;LA UNIÓN;9;LA UNIÓN;Urbano;19588;0,05%
41;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;31;0;1;FEMINICIDIO;8;1;1;0;Ley 906;CALI;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE CALI;FEMENINO;1;JAMUNDÍ;11;JAMUNDÍ;Urbano;132540;0,01%
42;0;2015;2015;2015;0;0;0;0;FEMINICIDIO ART. 104A C.P.;31;0;1;FEMINICIDIO;8;1;1;0;Ley 906;CALI;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE CALI;MASCULINO;2;PALMIRA;46;PALMIRA;Urbano;314418;0,02%
43;0;2015;2015;2015;0;0;1;0;FEMINICIDIO ART. 104A C.P.;2;0;3;FEMINICIDIO;5;1;1;1;Ley 906;SAN FRANCISCO;Colombia;Colombia;0;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;TADÓ;3;TADÓ;Urbano;19233;0,02%
